x,y
-126.7124,-126.6830
-125.2239,-126.4416
-82.4205,-120.4118
-34.8934,-113.5697
7.9100,-107.5399
47.4140,-101.7891
86.9009,-96.2895
121.1877,-91.1911
157.6178,-86.1132
191.6362,-81.2488
219.6409,-77.6131
233.0583,-75.1245
241.6211,-71.6730
249.1258,-65.2473
253.1050,-57.8620
254.9755,-51.8967
255.3240,-46.8022
255.1043,-42.8874
252.5977,-33.2104
246.2514,-8.4031
235.1076,38.9119
228.8443,64.9322
215.1007,124.1242
207.9769,148.2535
206.1906,150.4214
200.4295,160.9649
194.9228,165.6339
188.7170,170.7064
184.5654,173.8478
164.4358,181.9231
141.3156,188.3691
116.3938,194.9230
99.1625,202.2742
76.0725,211.7780
54.5903,228.9135
46.2561,237.9713
36.5315,250.2823
29.0369,262.7769
21.7313,278.4302
18.5456,288.7650
13.7211,314.0970
12.9220,332.5311
16.1969,355.4766
24.8281,383.1736
34.4884,413.2244
40.7898,439.9695
44.3162,468.6887
45.8972,491.5968
47.2066,518.7809
44.8201,547.7711
35.9756,622.4794
24.5178,722.3875
16.3268,781.5235
10.1497,810.7406
3.8430,821.8961
-3.0063,829.2800
-5.7358,831.3453
-10.9545,834.1936
-22.0101,834.8550
-30.4307,831.8718
-38.2061,823.7778
-44.0862,815.5705
-50.3686,795.3411
-53.2245,786.2091
-60.1657,763.9644
-66.1429,739.5023
-70.7337,720.9525
-75.1852,702.8392
-78.3237,691.4386
-81.6420,682.3251
-84.9507,672.7572
-88.2249,662.7843
-91.2852,654.8693
-99.3617,630.5434
-104.2754,616.2545
-106.8082,608.5802
-114.2376,587.9023
-120.4772,568.7277
-124.5541,557.0524
-135.4066,524.7566
-141.5860,507.6591
-145.9714,494.7695
-153.3428,471.7090
-161.0656,448.8900
-171.3233,419.4901
-188.7902,366.9965
-190.0113,363.8295
-199.0222,336.8850
-212.1282,297.3776
-219.3637,276.1396
-227.1483,253.5976
-235.7291,230.2493
-250.7643,185.5796
